Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
ERR579144_1	(1.0, 20.789364064501353)	(2.0, 7.603984348043445)	(3.0, 4.224240930276932)	(4.0, 2.880810480295935)	(5.0, 2.191013013253186)	(6.0, 1.7859090044613748)	(7.0, 1.4212400664410023)	(8.0, 1.2602252029431456)	(9.0, 1.1491828826818167)	('>10', 15.03430130283919)	('>50', 6.106870176528647)	('>100', 13.85681258796733)	('>500', 5.604433638107309)	('>1k', 9.49154236650919)	('>5k', 3.1656755032393775)	('>10k+', 3.4343944319107007)
ERR579144_2	(1.0, 23.005410032494527)	(2.0, 7.444964020759487)	(3.0, 4.091827451400389)	(4.0, 2.754841040439486)	(5.0, 2.0662320454771876)	(6.0, 1.626047291295451)	(7.0, 1.388306861479539)	(8.0, 1.1757023570325824)	(9.0, 1.0190745294146015)	('>10', 14.26591071730107)	('>50', 5.7712782924792485)	('>100', 13.261115346454513)	('>500', 5.631754383610881)	('>1k', 10.73129252382519)	('>5k', 3.53827204915898)	('>10k+', 2.2279710573769194)
ERR579145_1	(1.0, 32.324061950073755)	(2.0, 12.336995593922822)	(3.0, 6.958083824565948)	(4.0, 4.685478610288218)	(5.0, 3.3849357515440035)	(6.0, 2.5901366993780215)	(7.0, 2.0804989577107547)	(8.0, 1.6502623124882654)	(9.0, 1.3769991022280672)	('>10', 14.243916534944766)	('>50', 4.325623434513233)	('>100', 8.576283470126027)	('>500', 2.4443563433966897)	('>1k', 2.679804573401606)	('>5k', 0.2810213634551969)	('>10k+', 0.06154147796252944)
ERR579145_2	(1.0, 35.23804011263906)	(2.0, 12.820090260192101)	(3.0, 6.9131854336074285)	(4.0, 4.668059076232298)	(5.0, 3.344523691561532)	(6.0, 2.3674042606401433)	(7.0, 1.9030487007764199)	(8.0, 1.4489202595810176)	(9.0, 1.2373940911404087)	('>10', 12.702381405800923)	('>50', 4.152699998382436)	('>100', 8.421796373766863)	('>500', 2.376117741204268)	('>1k', 2.245222281198407)	('>5k', 0.16111631327667364)	('>10k+', 0.0)
ERR579146_1	(1.0, 24.636610449442788)	(2.0, 11.52788721925382)	(3.0, 6.994190341542712)	(4.0, 5.022444330573939)	(5.0, 3.650837130882958)	(6.0, 2.928011017288144)	(7.0, 2.4128365090325015)	(8.0, 1.9774405823277232)	(9.0, 1.731765940794547)	('>10', 20.382390456443076)	('>50', 5.810885232809477)	('>100', 8.84705982104726)	('>500', 2.1089346020244046)	('>1k', 1.7708388636096015)	('>5k', 0.14893567674369013)	('>10k+', 0.048931826183273075)
ERR579146_2	(1.0, 25.71681745501373)	(2.0, 11.705755182425207)	(3.0, 7.116206532831376)	(4.0, 5.103285407196651)	(5.0, 3.72356175060923)	(6.0, 3.036143726466936)	(7.0, 2.3860943392022373)	(8.0, 2.066441615091955)	(9.0, 1.7070213412574282)	('>10', 19.277190510133245)	('>50', 5.356702242664845)	('>100', 8.316899458733042)	('>500', 2.176190616568477)	('>1k', 2.0500744053167645)	('>5k', 0.1875799893165372)	('>10k+', 0.07403542717260095)
ERR579147_1	(1.0, 27.436732908387707)	(2.0, 12.138141248152957)	(3.0, 6.963745274096151)	(4.0, 4.713637907220778)	(5.0, 3.479433660431436)	(6.0, 2.583542698856904)	(7.0, 2.1407009869224436)	(8.0, 1.7573426293039343)	(9.0, 1.4718923989696355)	('>10', 15.71027827091172)	('>50', 4.253610660813386)	('>100', 8.166629763904961)	('>500', 2.9901022170255644)	('>1k', 5.1672098210850805)	('>5k', 0.7422660012856847)	('>10k+', 0.28473355263162503)
ERR579147_2	(1.0, 29.29394443416669)	(2.0, 12.47202873370394)	(3.0, 7.165455511800473)	(4.0, 4.713209796336056)	(5.0, 3.3920119400211135)	(6.0, 2.6011256118541866)	(7.0, 2.0282548953623856)	(8.0, 1.5953605633419379)	(9.0, 1.4612791987535652)	('>10', 14.2224817911875)	('>50', 3.8532399481620225)	('>100', 7.786611914105097)	('>500', 3.1936734074475863)	('>1k', 5.249972879078037)	('>5k', 0.5529810658458484)	('>10k+', 0.41836830883372167)
ERR579148_1	(1.0, 16.28961589651892)	(2.0, 10.835053107252744)	(3.0, 7.24707173268119)	(4.0, 4.839197081330133)	(5.0, 3.6490205069563277)	(6.0, 2.7848590366894044)	(7.0, 2.2624830321862657)	(8.0, 1.88295551581066)	(9.0, 1.5241459615558097)	('>10', 17.65183492652621)	('>50', 5.279505786969068)	('>100', 10.685626262107812)	('>500', 4.402405395270003)	('>1k', 7.6406361476147895)	('>5k', 1.3463786690243384)	('>10k+', 1.6792109415063317)
ERR579148_2	(1.0, 19.08182317650072)	(2.0, 10.805956083981801)	(3.0, 7.322018175087767)	(4.0, 4.940864666845316)	(5.0, 3.66971981120904)	(6.0, 2.820304567950495)	(7.0, 2.266266324266273)	(8.0, 1.8180176411383746)	(9.0, 1.5595605388929206)	('>10', 16.308409382534045)	('>50', 4.639835530963915)	('>100', 10.204162122449413)	('>500', 4.425447377611454)	('>1k', 7.566741562829173)	('>5k', 0.9406790611008724)	('>10k+', 1.63019397663817)
ERR579149_1	(1.0, 28.25402711557526)	(2.0, 6.918438539585052)	(3.0, 3.678122165066864)	(4.0, 2.4635862884697555)	(5.0, 1.8551588938897732)	(6.0, 1.4692669540158665)	(7.0, 1.2292040013508208)	(8.0, 1.0780084610063334)	(9.0, 0.9410192225467521)	('>10', 15.530604642903642)	('>50', 7.685382989831002)	('>100', 17.09280607646911)	('>500', 4.760449703825764)	('>1k', 4.304988229781876)	('>5k', 0.16418078562965818)	('>10k+', 2.5747559300524463)
ERR579149_2	(1.0, 29.61631730421315)	(2.0, 6.563179858861297)	(3.0, 3.4697193259239563)	(4.0, 2.3048799191912845)	(5.0, 1.7794356014443469)	(6.0, 1.396692979779054)	(7.0, 1.204373393385331)	(8.0, 1.0243480450176676)	(9.0, 0.8912761214439372)	('>10', 14.432384456031333)	('>50', 7.240910865888346)	('>100', 17.9218649045185)	('>500', 5.606414419650279)	('>1k', 5.533112289324781)	('>5k', 0.19009776532265626)	('>10k+', 0.824992750004009)
ERR579150_1	(1.0, 28.92249516345995)	(2.0, 13.576659188868126)	(3.0, 8.150900346406448)	(4.0, 5.256199421233989)	(5.0, 3.931143664253149)	(6.0, 2.9842925688581046)	(7.0, 2.392416322253471)	(8.0, 1.9641009469385466)	(9.0, 1.6359599544518169)	('>10', 16.33888397930603)	('>50', 4.1012953819328635)	('>100', 6.8225111075385385)	('>500', 1.8062216994226297)	('>1k', 1.6414273288281607)	('>5k', 0.14589970479091235)	('>10k+', 0.32959322145745773)
